usc,time,del1,del2,del3,stanford
Play-by-Play,,,,,
Stanford vs USC,,,,,
1/22/16 8:00 PM at Los Angeles Calif. (Galen,Center),,,,
,,,,,
1st PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
MISSED JUMPER by Simon Kristen,0.399305556,,,,BLOCK by Johnson Kailee
,0.397916667,,,,REBOUND (DEF) by Johnson Kaylee
,0.388888889,42724,V,8,GOOD! JUMPER by Johnson Kaylee
TURNOVR by Taito Khaedin,0.375,,,,
SUB IN : Mazyck Aliyah,0.375,,,,
SUB OUT: Taito Khaedin,0.375,,,,
STEAL by Mazyck Aliyah,0.363888889,,,,TURNOVR by McPhee Brittany
,0.363888889,,,,FOUL by Johnson Kaylee (P2T5)
GOOD! LAYUP by Lloyd Alexis [PNT],0.359027778,14-20,V,6,
ASSIST by Jaco Courtney,0.359027778,,,,
,0.339583333,14-22,V,8,GOOD! JUMPER by Johnson Kaylee [PNT]
MISSED JUMPER by Fagbenle Temi,0.324305556,,,,BLOCK by Johnson Kaylee
,0.324305556,,,,REBOUND (DEF) by (DEADBALL)
FOUL by Fagbenle Temi (P1T4),0.324305556,,,,
REBOUND (DEF) by Simon Kristen,0.313194444,,,,MISSED JUMPER by Johnson Kailee
,0.309027778,,,,SUB IN : McCall Erica
,0.309027778,,,,SUB OUT: Johnson Kaylee
GOOD! 3 PTR by Lloyd Alexis,0.299305556,17-22,V,5,
ASSIST by Jaco Courtney,0.299305556,,,,
SUB IN : Effa Marguerite,0.284722222,,,,
SUB OUT: Simon Kristen,0.284722222,,,,
,0.279166667,,,,TURNOVR by Sniezek Marta
,0.279166667,,,,SUB IN : Thompson Lili
,0.279166667,,,,SUB OUT: McPhee Brittany
GOOD! JUMPER by Lloyd Alexis [PNT],0.270833333,19-22,V,3,
ASSIST by Jaco Courtney,0.270833333,,,,
,0.248611111,,,,TURNOVR by McCall Erica
SUB IN : Simon Kristen,0.248611111,,,,SUB IN : Smith Alanna
SUB OUT: Fagbenle Temi,0.248611111,,,,SUB OUT: Johnson Kailee
MISSED JUMPER by Mazyck Aliyah,0.238888889,,,,REBOUND (DEF) by Smith Alanna
